Predictor,Dataset,R2,MAE,RMSE
KAN (full),Train,0.9999608128091401,0.07926263,0.108261205
KAN (full),Val,0.9994945567624399,0.2826186,0.3352312
KAN (full),Test,0.9945394117613349,0.52618086,0.94757485
Symbolic (full),Train,0.9994048339401691,0.34698212,0.42191005
Symbolic (full),Val,0.9997780410865478,0.1952777,0.22214909
Symbolic (full),Test,0.9819528597317504,0.80617875,1.7226537
KAN (pruned),Train,0.9813840995904229,2.3531737,2.3596241
KAN (pruned),Val,0.9762086043193051,2.2453358,2.299949
KAN (pruned),Test,0.9647489764994375,2.3220758,2.4075742
Symbolic (pruned),Train,0.999999645227999,0.008709336,0.010300906
Symbolic (pruned),Val,0.9999972495868756,0.022833126,0.024729038
Symbolic (pruned),Test,0.9868266649704762,0.52209705,1.4717759
