,Model,Fold,Start,End,R2,MAE,RMSE
0,BaggingRegressor,1,2023-03-04 00:00:00,2023-03-05 23:59:00,0.9544354655283864,3.2978900017950195,4.31797113634845
1,BaggingRegressor,2,2023-03-04 08:00:00,2023-03-06 07:59:00,0.9386055277905909,3.7306227833183154,4.730586593114951
2,BaggingRegressor,3,2023-03-04 16:00:00,2023-03-06 15:59:00,0.9262835393429488,3.6165995344242976,4.693661051891237
3,BaggingRegressor,4,2023-03-05 00:00:00,2023-03-06 23:59:00,0.8856539918207618,4.90115301485325,5.985750140783219
4,BaggingRegressor,5,2023-03-05 08:00:00,2023-03-07 07:59:00,0.8065280621060854,5.480181113980096,6.67520811632733
5,KAN-Model,1,2023-03-04 00:00:00,2023-03-05 23:59:00,0.9651784162974332,2.353731108006367,3.7747702690034504
6,KAN-Model,2,2023-03-04 08:00:00,2023-03-06 07:59:00,0.9804729666342256,1.6405191678289472,2.6678935415291583
7,KAN-Model,3,2023-03-04 16:00:00,2023-03-06 15:59:00,0.9819579136264626,1.4969849559755,2.322056941995513
8,KAN-Model,4,2023-03-05 00:00:00,2023-03-06 23:59:00,0.9233614403083354,3.1357332754341996,4.90040244114144
9,KAN-Model,5,2023-03-05 08:00:00,2023-03-07 07:59:00,0.744960879322153,5.194809602601324,7.664065730122611
10,KAN-Symbolic,1,2023-03-04 00:00:00,2023-03-05 23:59:00,0.9972295690815159,0.69218666151025,1.064731073570838
11,KAN-Symbolic,2,2023-03-04 08:00:00,2023-03-06 07:59:00,0.997335407643558,0.5514910663713772,0.9855206993480655
12,KAN-Symbolic,3,2023-03-04 16:00:00,2023-03-06 15:59:00,0.9992350153205498,0.33242902887245246,0.47814085670437606
13,KAN-Symbolic,4,2023-03-05 00:00:00,2023-03-06 23:59:00,0.9992798426708275,0.32867806951392925,0.4750308039535872
14,KAN-Symbolic,5,2023-03-05 08:00:00,2023-03-07 07:59:00,0.9992196246018508,0.33804512296301137,0.4239431323772341
15,MLPRegressor,1,2023-03-04 00:00:00,2023-03-05 23:59:00,0.9945443224487275,0.9961299143549862,1.4941376631918015
16,MLPRegressor,2,2023-03-04 08:00:00,2023-03-06 07:59:00,0.9949267459537737,0.8367106602341225,1.359858332470835
17,MLPRegressor,3,2023-03-04 16:00:00,2023-03-06 15:59:00,0.9961850421187404,0.6242616127080729,1.067761752741858
18,MLPRegressor,4,2023-03-05 00:00:00,2023-03-06 23:59:00,0.9966157437727398,0.5373909706750677,1.0297687273812177
19,MLPRegressor,5,2023-03-05 08:00:00,2023-03-07 07:59:00,0.9969785173408964,0.441488554730053,0.8341917158000036
20,RandomForestRegressor,1,2023-03-04 00:00:00,2023-03-05 23:59:00,0.9561727961398963,3.219784430837664,4.234851132041401
21,RandomForestRegressor,2,2023-03-04 08:00:00,2023-03-06 07:59:00,0.9405765234032321,3.6569387962909277,4.654032266374997
22,RandomForestRegressor,3,2023-03-04 16:00:00,2023-03-06 15:59:00,0.9284009979352721,3.5550050738555417,4.625758667000114
23,RandomForestRegressor,4,2023-03-05 00:00:00,2023-03-06 23:59:00,0.8877750376466832,4.840856870424564,5.929974347027073
24,RandomForestRegressor,5,2023-03-05 08:00:00,2023-03-07 07:59:00,0.8083813014821568,5.433985814536969,6.643160766669996
