Predictor,Dataset,R2,MAE,RMSE
KAN (full),Train,0.9993982045938204,0.34927753,0.42425328
KAN (full),Val,0.9997773814803385,0.19529063,0.22247894
KAN (full),Test,0.9862367125926107,0.73060215,1.6329675
Symbolic (full),Train,0.9994048339401691,0.34698212,0.42191005
Symbolic (full),Val,0.9997780410865478,0.1952777,0.22214909
Symbolic (full),Test,0.9862121596096869,0.7321792,1.6344235
KAN (pruned),Train,0.9999996127013919,0.009175367,0.010762762
KAN (pruned),Val,0.9999974629109765,0.021773446,0.023750683
KAN (pruned),Test,0.9899429270439951,0.4694654,1.3958935
Symbolic (pruned),Train,0.999999645227999,0.008709336,0.010300906
Symbolic (pruned),Val,0.9999972495868756,0.022833126,0.024729038
Symbolic (pruned),Test,0.9899373097291589,0.4705929,1.3962833
